ID,exact_weather_condition_by_accident,exact_accident_location_per_claim ,number_of_findings_with_potential_fraudster ,exact_description_of_accidents_by_photo,contact_with_potential_fraudster_mechanic
ZGWJ78978443019126,1,0,2,Y,N
GJXV08860164195384,1,0,2,Y,Y
XHCQ45357492208855,0,1,5,Y,Y
UAZE62281237933236,1,1,3,Y,Y
TSEU71908957740382,1,1,4,Y,Y
ZXPR51429635460305,1,1,2,Y,Y
KOVX34524059802507,1,1,1,Y,Y
AHBA35105623762542,1,1,3,Y,N
XZXN60648870916620,1,1,5,N,Y
ETVQ21532302821691,1,1,5,N,Y
UOWE99045600715427,1,1,2,Y,N
QLFX65476048487089,1,0,5,Y,Y
IVBO61657004049438,1,1,5,N,N
KMIG19539852250909,1,0,2,Y,N
LLJU45769620290725,0,0,1,Y,N
XPVV49318642821291,1,0,5,Y,Y
UZRT66444064488855,1,1,2,N,Y
WZNZ20829657086930,1,1,3,Y,Y
QFVG57039342619737,1,1,5,Y,Y
ZZWD32716644659514,1,0,1,N,N
PAYI36666097592945,0,0,1,Y,Y
MPQE01955013187050,1,1,3,Y,Y
MEYU46292648022270,1,1,5,N,Y
BRWX62591182434544,1,1,5,Y,Y
OEYO82092805137937,1,1,5,N,N
FWKU27808185011695,1,1,5,Y,Y
OKMQ51250220593060,1,1,3,Y,N
ZMBT25160759944976,1,1,2,Y,N
AOZI36151105026905,1,1,4,N,N
ZRXW77108640811551,1,1,4,Y,Y
BEQU40065282222395,1,1,1,Y,Y
PUVM03345235326759,1,1,2,Y,Y
MSYA29062200580001,1,0,5,Y,Y
TEYE60669532583861,1,1,2,Y,N
NSVL16637636376914,1,1,3,Y,N
QLRA99734095618026,1,0,1,Y,Y
YNXM61797225762948,1,1,1,N,Y
LLEU57803429546048,0,1,4,Y,Y
BVNI63522195206967,1,1,1,Y,Y
UWWV16882223230827,1,0,3,Y,Y
TXJW51642585826843,1,1,4,N,Y
LMPQ46612209981399,1,0,5,N,Y
DIWX92610015751759,1,1,3,Y,Y
VPZY32881820286937,1,0,4,Y,N
IASE62790619653870,1,1,4,Y,Y
TDIQ78674238524927,1,0,1,Y,N
CPMS68147314251202,1,1,5,Y,Y
RGAB68971785510337,1,1,3,Y,Y
IHAP58511496356234,1,1,2,Y,Y
XYPV54692165873556,1,1,3,Y,N
LMYY41741725325731,0,0,4,Y,Y
MOQO99368473580175,1,1,4,N,Y
HNBS06143521250300,1,1,4,Y,N
RAED99317308961823,1,1,2,Y,Y
NMPZ06360940955572,1,1,5,N,Y
QCID14029263953688,1,0,1,N,Y
RDWP18772785264619,1,1,5,N,N
KHOH57607086736347,0,0,4,Y,N
EHOJ57928134810250,1,1,3,N,Y
TZFY76367326058352,1,1,5,N,N
RWTS62979397037958,1,1,2,Y,N
ABBE37931864573258,1,1,3,Y,Y
WOMO57123126783500,1,1,4,Y,N
GCNS96830287468811,1,0,5,N,N
XPYA36954103909852,1,0,4,N,Y
IDSO43668539410259,1,1,5,Y,Y
PCQP65601692201630,1,1,3,Y,N
IMDL45938805880270,0,1,3,Y,Y
KELD98614918192708,1,1,2,Y,Y
LDRW32363975245833,1,1,4,Y,Y
KEIR01545019041243,1,1,5,Y,N
RLOC68861197524364,1,0,1,N,Y
AAUI15584038249066,1,1,3,Y,Y
SHIK87716528037603,1,1,1,Y,N
JDFE70586183744667,1,1,1,Y,N
FWQL33234228480236,1,1,2,Y,N
HYRE92384073062686,1,1,2,Y,N
MRQP12180103674656,1,1,3,Y,Y
XCYF93300817372984,1,1,1,Y,Y
TELV55484207396574,1,1,4,Y,N
EPJZ55966968493363,1,1,3,Y,Y
QFQE98887546478034,0,1,4,Y,N
WCAG91403292594000,1,1,5,N,Y
FJHM75519610209845,1,1,2,Y,Y
MGKF27299869300690,1,1,2,Y,N
QCNJ59305254779541,1,1,4,N,N
ZYFD84869762962191,1,0,2,Y,N
XPJV16441588100902,1,0,1,N,Y
NMZP05216930360096,1,1,2,N,Y
RXWJ66807828239219,1,0,4,Y,N
JIIG60081042282150,1,1,3,Y,Y
EKSY11534757788115,1,1,4,Y,Y
MYMR78681326852122,1,0,1,N,N
MUSD18494576959785,1,1,2,Y,N
YQBX65580391715693,1,1,5,Y,N
AQQD09505254776037,1,1,3,Y,Y
VZZX20782649730799,1,1,2,Y,Y
TOKS56928663564334,1,1,2,Y,Y
RSLO39592532482891,0,1,4,Y,Y
PGWF95931873464835,1,1,4,Y,N
KXAB33928714847656,1,1,1,Y,N
DBKF49874867531118,0,0,1,N,N
VSQK91930014196299,1,1,5,Y,Y
GIJF29322347429431,1,1,2,N,N
VNFG90587241949302,1,1,2,Y,N
XSVA62278085327573,1,0,3,N,Y
VWGD57458943486126,1,1,1,Y,N
SUDQ27264832147568,1,1,1,Y,Y
LMXX68289204978963,1,1,4,N,Y
GMCD86187203331966,1,1,1,Y,N
RGQG37131829389896,1,0,5,Y,Y
MUIV79055303738302,1,1,2,Y,Y
OPCT44654191759913,1,1,2,Y,Y
NHAP42852185515334,1,1,5,N,N
WNUX66027142839752,1,1,5,Y,Y
ESNI31227862047915,1,1,1,Y,N
DPHQ00917494862319,1,1,5,N,N
FPUU30329229921141,0,1,3,N,Y
TOSY49601270554660,1,1,3,Y,Y
UHGY19238375046988,1,1,2,Y,N
WKWS86341743441527,1,1,1,Y,Y
MUOB48967998320416,1,1,3,Y,Y
GPPI86297420354106,1,0,3,Y,Y
KTXG56213577256665,1,1,5,Y,Y
DCRZ72108673616049,1,1,2,Y,N
JIQD85020155733597,1,0,3,Y,N
RFOM01015348184118,1,0,5,Y,N
JXBH12722742790860,1,1,1,Y,Y
DJCU63463798852609,1,1,4,Y,N
THJL85774542237505,1,1,4,Y,Y
TZWJ30178236958207,1,0,4,Y,Y
OZOL03931721886943,1,1,1,N,N
NARP50394678410156,0,1,4,Y,Y
MZUW34768064726669,0,1,5,Y,N
JPRL46925067741353,1,1,4,Y,Y
ATKE27112903208662,1,1,3,Y,Y
MOJR02721174446094,1,0,3,N,Y
YOCB43748361600150,0,0,3,Y,Y
JBAB90292719208211,1,1,1,N,Y
TYVD31761177828125,1,1,4,N,N
QECU80831658589864,1,1,2,N,N
SWCE96545850002432,1,1,2,Y,Y
DPXP24420255318724,1,1,3,Y,Y
GUDT35614685053606,1,1,5,N,N
IYZF40415604324581,1,1,2,Y,Y
PGST91640400925263,1,1,5,Y,Y
RGBU83787995551065,1,1,2,N,Y
PHXV69039766226673,1,0,3,Y,N
CWFS04212426486586,1,0,4,Y,Y
ODIT54446980788364,1,1,4,N,Y
XBAN81400768587878,1,1,4,Y,Y
SFZS09534613129727,1,0,3,Y,N
OWEP47583058468914,1,1,2,Y,Y
QEEC53007719802792,1,1,5,N,Y
ICJL27505119144952,0,1,1,Y,N
VYPM63164767626363,1,1,3,Y,N
CZEO55475327253721,1,0,5,N,Y
STOX52152451165545,1,1,1,N,N
GVUJ22827318410616,1,1,4,N,N
PVEW20121691419913,1,1,3,Y,Y
MFQO45264221385715,0,0,5,Y,Y
NZZJ70252733127615,1,0,2,Y,Y
DKEG39857597844099,1,1,2,N,Y
IGQR14721078889986,1,1,4,Y,Y
KTZK35728072018021,1,1,1,N,N
KJVG10325689563609,1,1,2,Y,N
SAOX06231925447586,1,1,4,N,N
KZIQ47856564037466,1,0,2,Y,Y
FPGF93148829271736,1,1,2,Y,Y
DBQB11922935511672,1,1,3,Y,Y
SQGT39979412613224,1,1,3,Y,Y
ZVKF75811600356356,1,0,5,Y,Y
DKCP97436055218470,1,1,5,N,Y
UFEX89571647406071,0,1,2,N,Y
ZJKJ92770952604292,1,1,1,N,Y
NYQO82652859211313,1,1,4,Y,N
WUGA65459478047637,1,0,1,N,Y
QTXM53954224315624,1,1,3,N,Y
WTFM01266119381357,1,1,5,Y,N
WTZD22999074380710,1,1,1,Y,N
TGFP38499125809548,1,1,2,Y,N
SJAS65154514925009,1,1,4,N,Y
ANHN97402978100126,1,0,4,Y,N
TFXH81006642605683,1,1,5,Y,Y
ZLTH06780357293303,1,1,1,N,N
JYKK42296406197263,1,1,4,Y,Y
YMER79509833867391,1,1,5,Y,N
DEFJ05129892864052,1,0,1,N,Y
QGWO94603943514754,0,1,1,N,Y
IWDL43533336184256,1,1,1,Y,Y
RVBR61438411868522,0,0,1,N,Y
JXZX42743893173564,0,1,3,N,N
DZEO58217675947240,1,0,4,Y,Y
WZCO92116341694809,1,1,1,N,Y
MXNQ53321189245783,1,0,4,Y,N
YETT25205218593181,1,1,4,Y,N
QTWP45913064853954,1,0,1,Y,Y
ZOZE01745470553555,1,0,4,Y,Y
GAMU98469081506212,1,1,1,Y,Y
VRJG53913654017463,1,1,2,Y,N
XOAF02901503374495,1,1,5,Y,N
KUYW79803233121098,1,0,1,Y,Y
SXZT67760985832948,0,1,3,Y,Y
VMTQ07993648415948,0,0,3,N,Y
OODS45165015918390,1,1,1,Y,Y
AJXO18073484436977,1,1,3,Y,N
KAYS99415126745493,1,1,2,Y,N
ROOI71128045550652,1,0,3,Y,Y
PBRQ45495150792594,1,1,3,N,Y
PAOF35310676905007,1,0,3,N,Y
GWFO16804120046894,1,1,1,Y,Y
KPSK45308378065083,1,1,1,Y,N
RHAX85239787627420,1,1,3,Y,N
VJXK43600129592008,1,1,2,Y,Y
SECE28266054590390,1,0,3,Y,Y
YYLK19551635942382,1,0,5,Y,N
EQZD59989192547472,1,1,4,Y,N
NLDK24257155452633,0,1,2,Y,Y
SOTN93052076910649,1,0,2,Y,N
NAWT36977966604225,1,0,1,Y,Y
QTOF96324075758349,1,0,1,Y,N
PWEI35049630396249,0,0,5,Y,Y
GYEM97579209665424,1,1,4,Y,Y
IMWT37327706384614,1,1,3,Y,Y
FEYG42253992012494,1,1,3,N,N
FBIS51645988418800,1,0,3,N,Y
XNTP59316619485200,1,0,2,N,N
MLZA55899681198335,1,1,5,Y,Y
MEBC05369163511243,0,1,2,Y,Y
GMNG30846381955483,0,1,4,Y,N
SGSB91461015519413,1,1,3,Y,N
ZSCD67253232090778,1,1,5,Y,Y
HNHG91524177374737,1,1,2,Y,N
TGSM56462298713959,1,1,3,N,N
AJOG63495050609800,1,0,1,Y,N
NTJO50861640500519,1,1,1,Y,N
UQUD98039964112128,1,1,2,Y,Y
HPTI63088713267133,1,0,1,Y,Y
ENVP64938086279204,1,1,4,N,N
SPVO96583148835438,1,1,4,N,Y
IJZM55314431368253,1,0,4,Y,Y
ZOHI85619771218440,1,1,4,N,N
MGAT20665660479901,0,0,1,N,N
ETRH25628473142933,1,1,2,Y,Y
AWAO44806792020865,1,1,1,Y,Y
KAVO83460677231881,1,0,5,N,N
GUYW86543905419921,1,1,4,Y,N
YAPL46208226349890,1,0,1,Y,N
HASY54794485521781,1,1,1,Y,Y
EFKN38455480816196,1,1,4,N,Y
ZCXD72626805644219,0,0,4,N,Y
RKZT38037862880348,0,1,2,Y,N
IBQL46203943740066,1,1,5,Y,Y
WAWF15634685921530,1,1,4,Y,Y
YMIK38399907334227,1,1,2,Y,Y
BCHM66029440934761,1,1,5,N,Y
VZWL17539901573441,1,1,1,Y,Y
CVTN37378687220871,0,1,4,N,Y
UWKX21995793760244,1,0,5,Y,Y
JVNY90717478579143,1,0,4,Y,N
OLOU27514939284120,1,0,5,Y,Y
SXYV87874206546000,0,0,2,N,Y
NYUC06793140279010,1,1,3,Y,Y
EOYF33380077521090,1,1,1,N,N
UHMY40741821558389,1,1,5,N,Y
ZGRQ48322511466848,1,1,2,Y,Y
DLMD20680949530000,1,0,2,Y,Y
ZKDU14470163449912,1,1,5,Y,N
DLLZ45016454027533,1,1,1,Y,N
NLRV12293814860537,1,1,5,N,Y
SGOQ17359559906156,1,1,4,Y,N
LHEL66843316323056,1,0,1,Y,Y
DZTR90522576544562,1,0,4,N,Y
VEVO26855102553145,1,1,5,N,N
BDWO89307713133935,1,0,3,N,N
AJWI05905261682778,1,1,3,Y,Y
ALAC77038016162799,1,0,3,N,Y
SMAR09329272730808,1,0,4,Y,Y
PMIU75998129077746,0,1,2,Y,Y
YZBB56739908395324,1,1,5,Y,Y
RWFN91463195626871,1,1,3,N,N
NLZL65640375315066,1,0,2,Y,Y
SNHU65103413413239,1,1,4,Y,Y
UKJF38702791047438,1,0,5,Y,Y
EUVK42256457762973,1,1,3,N,N
YNUN70575057571184,1,0,3,Y,Y
TNKU71576806850509,1,1,4,N,Y
QTNH04883983186180,1,1,3,Y,N
KKBO28909996474983,0,1,3,Y,N
FHGP33453952163399,1,1,2,Y,Y
MFPW49114300517447,1,1,4,N,Y
IHVR58915651829799,1,1,4,Y,Y
QLZI82212140385685,1,1,1,Y,Y
WXZQ97038606698831,1,0,1,N,N
KNRJ37729948875105,1,0,3,N,N
OERI01727482291382,1,1,4,Y,Y
BDZQ55653167998199,0,0,5,Y,Y
OJAK87184195092425,1,1,4,Y,N
HMKU80559737699566,1,1,4,Y,Y
GFPB30702128311638,1,1,1,Y,N
FMFD65837011381181,1,1,5,Y,Y
CAFI79824499935427,1,1,2,N,N
KVGH29676092904106,1,0,1,Y,Y
EGJC30976673415765,1,1,5,Y,N
AVBD99773780430358,1,0,3,N,N
YBML33350910135918,1,1,4,Y,N
IUGZ27773918821592,1,1,1,N,N
WIWY64321334401287,1,0,3,N,Y
WECD39833273797156,1,0,5,Y,N
FANU99292658833539,1,1,4,N,Y
UBYN97085352057189,0,0,4,Y,N
JSRF30713749440954,1,1,1,Y,Y
ATAO02104411139905,1,0,3,Y,N
TZTO08976490355526,1,0,2,Y,Y
MBZA49834290643009,1,1,2,N,N
XOTE39546818734405,1,1,5,Y,N
JZSI34584467116323,1,0,3,Y,N
LUQO79638751397491,1,1,1,Y,N
BCVW38658117477048,1,0,5,N,Y
PLTP28307933930416,1,1,3,Y,Y
NLES67262305771549,1,0,2,Y,Y
XWJB38443171875248,0,1,1,N,Y
AGHL82553438064464,0,1,1,Y,Y
UBAS23808299422970,1,1,4,N,Y
TJRH51332248747435,1,0,2,Y,N
EOPZ28366435472667,1,0,4,Y,N
XGTB49807906992009,1,0,3,Y,Y
FCBI50461665332976,1,0,3,Y,N
ORXE91479124838569,1,1,3,Y,N
YCLP01224423255833,1,0,5,N,Y
BQVG87526773786431,1,1,5,Y,Y
XOZN94511237820728,1,1,4,N,Y
EAHF39055745955146,1,0,1,N,N
WYPT59561102895301,1,1,5,Y,N
DVJN64570345650110,1,1,3,N,N
SEXB49493858332976,1,1,2,Y,Y
CIXX65546530625123,1,1,5,Y,Y
EPJS07782861993768,1,1,3,Y,N
RHBA49623396982203,1,1,1,Y,Y
SAHS11033235686159,1,1,1,Y,N
KUZM18501044021554,1,0,2,N,N
OVNY33116279878820,1,1,1,Y,Y
APEG59018842456160,0,1,3,N,N
RWJN95740072103431,1,1,5,Y,N
HWGQ46477996330352,1,1,3,N,Y
ZGBR66853241205021,0,1,5,Y,N
DDXB12694071399880,0,1,2,Y,Y
FASO44992896512182,1,0,4,Y,Y
EATB43144773498674,1,1,4,Y,N
HTRN16631593081065,0,1,2,Y,Y
WGKN10764469469220,1,1,1,Y,N
FBKT58763605867996,1,0,5,N,N
ITSD24289864291464,1,0,4,Y,N
TAPG84309841656596,1,1,2,Y,Y
KABD98616535555255,1,1,1,Y,N
IKZX44269639134724,1,1,2,Y,Y
IBAH55170427335114,1,0,4,N,Y
OJNZ59821126418948,1,1,2,Y,Y
WPNH54452431466571,1,1,1,Y,Y
RHFO39540205749452,0,1,1,N,N
SJFA77167107634297,1,1,4,Y,Y
CULW68477759411113,1,1,4,Y,N
OCSO08226852523762,1,1,1,N,N
LFOD25014442936780,1,1,3,N,N
UYMS14588644173470,1,1,2,Y,Y
ZADA56240114742645,1,0,3,N,Y
NNSZ84976327421922,1,1,3,Y,N
YJID51031958049761,1,1,2,N,Y
IVWG39520003107143,1,1,5,Y,N
LWUN23889276308996,1,1,5,Y,N
WPEN98812925929659,0,0,4,N,Y
VNJG66968371097805,1,1,3,Y,Y
YYKP94981014243119,1,0,2,Y,Y
BJNI18900231629951,1,0,2,Y,Y
ZHPY91838727953214,1,0,4,Y,N
QVWB63679260808389,1,0,3,Y,Y
AYEC81326531632379,1,1,4,Y,Y
JLFX44653336264320,1,1,3,Y,Y
VKVT04372028357638,1,1,2,Y,Y
YFVP89209062039637,1,0,1,N,Y
YMQR14705707229575,1,0,1,Y,N
CGSV01643153578683,1,0,2,Y,Y
MCPP07303349821796,1,1,4,Y,Y
FABC17911365409897,1,1,5,Y,Y
RXZV51540400650795,1,0,2,Y,N
HYXF89924772342132,1,0,1,Y,N
IOPL02353004290745,1,0,5,N,N
DUUM45656553847300,1,1,3,Y,Y
LFTX97463028426494,1,0,1,Y,Y
XLDS55859383408258,1,1,2,Y,N
TILH65865566438141,1,1,3,N,Y
OERP81432145805802,1,1,3,Y,Y
PDTH63400958945089,1,1,1,N,N
SMHO74260336114152,1,0,4,Y,N
DDGD23385183438341,1,1,2,N,Y
TWZW73195094230879,1,1,5,N,Y
LTZH62958827137579,1,1,4,Y,Y
IFXA74019058769713,1,0,1,N,N
LMIL89525215145615,0,0,5,N,N
EMQJ45290137153472,1,1,4,Y,N
UGRQ87272778598032,1,1,1,Y,N
WKMP69860952242927,1,0,1,N,Y
TXLT93896529897816,1,1,4,Y,Y
JKOS56712777232152,1,0,5,N,Y
QFSU87338672098448,1,1,1,N,Y
ZAPI60470877985768,1,0,3,Y,Y
TBCC33345828633810,1,0,3,Y,N
AFJM70259142667759,1,1,2,Y,Y
HLKT29665586271463,1,1,1,N,Y
WQYO34004900938555,1,1,1,N,Y
QYSI02018519425939,0,1,1,Y,Y
NRKN66718074151758,1,1,4,Y,N
MDRT02665009252749,0,1,4,N,N
UWKY41527076453053,1,1,5,Y,Y
QDGZ64206959729643,1,1,5,Y,Y
VILU95699961630375,1,1,5,Y,Y
HRXH77312245209986,0,1,2,Y,N
MOBI75469681674306,1,1,3,N,N
TOSS76559254972834,0,1,1,Y,Y
OEID25879089263409,1,0,3,Y,N
AVUK51318606943281,1,1,3,Y,Y
ZRGW38626044107445,1,1,1,N,N
NYBT03902138665113,1,1,3,Y,Y
CUFF83789916983854,1,1,5,Y,Y
MODS06154800521358,1,1,1,Y,Y
YKRH93511015766755,1,1,1,Y,Y
YEOC85265076925773,0,1,3,Y,N
STYA93813192673499,0,1,1,Y,Y
APZU00207236203280,1,0,2,Y,N
CERY03687907864072,1,1,4,Y,Y
GCGO05616269864268,1,0,3,Y,N
UQDZ61508746977578,1,1,5,Y,Y
HALH34466442032973,1,0,5,Y,N
RVPP09870091391832,1,1,4,Y,N
SVUX42349974424386,1,0,2,Y,Y
HVBQ24953430891748,1,0,2,N,Y
ALMN78564484594005,1,1,1,Y,Y
MLTP75822069312344,0,1,4,N,Y
TXIH40823955937174,1,1,2,Y,Y
MNBN06173502787680,1,1,2,Y,Y
EZHP10180085150378,0,1,1,Y,N
SGZX44037235007586,1,1,1,Y,Y
BQAF81378883037020,1,0,2,Y,N
OHPD58697933146762,1,1,3,Y,N
WJTI03337016517057,1,1,4,Y,Y
BISV43298448116681,1,1,3,Y,Y
UTII67766641288899,1,1,4,Y,Y
ZWAK26840500035313,1,1,1,Y,Y
GUTS25884617269052,1,1,5,Y,Y
PKAA43898269797335,1,1,4,Y,N
SLRN84644791004686,1,1,2,Y,Y
UWBM98057358599003,1,1,4,Y,Y
NPXI49104113895327,1,1,4,Y,N
YDLZ01211676257083,1,1,3,N,N
KVSU32689441685145,1,1,2,N,Y
SVNV51070314194604,1,1,1,Y,N
WWSM38532718618281,1,0,4,Y,Y
GFXX52904660381723,1,1,4,N,Y
ZZWX70614396311163,0,1,3,N,Y
ADLZ83906021217539,1,1,2,Y,Y
WWVI16545981336629,1,1,1,Y,N
XHHJ64600664061019,1,1,1,Y,Y
JBAM89827119063330,1,1,1,Y,Y
DVXG37585590666976,1,1,3,Y,Y
EAGZ36627488065306,1,1,3,Y,N
FDUH56552393616989,1,1,2,N,Y
XYJA29455859672513,1,1,3,N,Y
VLGZ05815490142744,1,1,1,Y,Y
RCTE91183902851129,1,0,2,Y,Y
YLEI87438043536754,1,1,1,Y,N
TZEI34423528117591,1,1,2,Y,Y
VVJF04001445662981,0,1,5,N,N
NOLJ97176161474269,1,1,2,Y,Y
SNGE28133544778905,1,1,3,N,Y
JNWR79046031348306,1,0,1,Y,Y
SQHC41966171042573,1,1,2,Y,Y
JLGY22737225402417,0,1,5,Y,N
RHNX37805164991753,1,1,1,Y,N
FCAN15951254818256,1,0,2,Y,Y
WEBK43347084819032,1,1,5,Y,Y
NAEO67875877141631,1,1,1,Y,Y
LCMW66357058244902,1,1,1,Y,Y
FRIK69463357520424,1,1,2,N,N
ZXZQ96167766103403,1,0,5,Y,Y
VUVY22623698020092,1,1,3,Y,Y
IIYT63110438805818,1,1,3,Y,N
HTRC77789979973918,1,0,5,Y,Y
BTUB06967305069379,0,1,1,Y,Y
SDIT62430268350267,1,0,4,Y,N
DMZJ04326925380566,1,1,1,N,N
HCLV27818178570282,0,1,4,Y,Y
GWPE64807237126913,1,1,4,Y,Y
YPJU48117663251043,1,1,3,N,Y
CZEV38604019691688,0,0,5,Y,Y
BXTC13169990659607,1,0,5,Y,Y
JLPW04044324381337,1,0,4,Y,N
DAQE21268837733142,1,1,5,Y,N
YBNI48848976485619,0,1,1,Y,Y
PCEK51646248490848,0,1,2,N,Y
PGNU03494197294150,1,1,2,Y,N
FNKK01255605199595,1,1,2,Y,N
ODYX98727678473650,0,1,4,Y,Y
NETJ53132960754571,0,0,1,Y,Y
YALU46936391914906,1,0,3,Y,Y
WLMF56991865451927,1,1,2,Y,Y
GDOW20925043218579,0,1,1,Y,Y
SSKA05116769549990,1,1,2,N,N
UIGV80870800125778,1,1,1,N,N
YMFR72572170769107,1,1,5,Y,N
CDSE72901065515679,1,0,1,Y,Y
BGDF70768290261188,1,1,2,N,Y
WHTA11095351525390,1,0,5,Y,N
RPDS29572827520245,1,1,3,Y,Y
HISN45907424307470,1,1,1,Y,Y
LXZH98363612414282,1,1,5,N,N
XONM63811654766567,1,1,4,N,Y
HBDJ58054571992091,1,1,4,Y,N
HAJH41664103480189,1,0,3,Y,Y
EHGH41137107256657,1,1,2,Y,N
TUTA36314819476363,1,1,1,N,Y
ZNBC55422903140326,1,0,5,Y,Y
NVZK17916790127643,1,1,4,N,Y
JFCD70422623162327,0,1,3,Y,N
STDA60644588813515,1,1,1,N,Y
ZHQU61918194060986,1,1,4,Y,Y
DLZG72013828497326,1,1,4,N,N
DIIX61886591124379,1,1,2,Y,Y
GPGT33464883497992,1,1,4,Y,Y
HAUK17627007339836,1,1,1,N,Y
UHPZ38886587107313,1,1,5,Y,N
OEJV19880504291856,1,1,5,Y,N
OSTS41175301868939,1,0,3,Y,Y
NOKI67168433225757,1,1,3,Y,Y
JYBO55935023156231,1,1,4,N,Y
SKIS52609210703837,0,0,3,Y,Y
LNRL59314420354722,1,0,1,Y,Y
XQWV98126660794612,1,1,2,N,Y
RLMT28459686459060,1,1,3,Y,Y
SOWN32136249873443,1,0,2,Y,Y
QLUY30944978486651,0,1,1,Y,N
XELZ11346970605174,1,1,2,Y,Y
KOMP04517594939391,1,1,2,Y,N
KIZA37665827218943,1,1,3,N,N
KJCN81863422321344,1,1,1,Y,Y
RDZN49951161820793,1,1,2,N,Y
NNJT66712411774795,1,0,5,Y,Y
HZIF70612307785589,1,0,5,Y,Y
VOYK43089512752986,1,1,4,Y,N
XZVC27216470858608,1,1,3,Y,Y
YWSV49092424779740,1,1,4,Y,Y
DEFD03603631834889,1,0,5,Y,N
ZGTX62119693490179,1,0,4,Y,Y
LTNB03818025530342,1,0,1,N,Y
ELDZ00914469752519,0,0,5,Y,N
GGRU22942249033264,1,1,3,Y,N
RHBE23609716180563,1,1,1,Y,N
DROE28674809569535,1,0,3,N,Y
RNPG75966326333400,1,1,4,Y,Y
ZROD50493331480102,1,1,3,Y,Y
MWDN37028499243085,1,1,4,Y,N
ADBS51857664463907,1,1,2,Y,N
VMIU48492681905743,1,1,1,Y,Y
ORFV98225507731293,0,1,4,Y,Y
UWEP06239816089028,0,1,4,Y,N
JJRR71900395028979,1,1,1,Y,Y
WQKK85549578360556,1,1,1,Y,N
UUYW32787485820345,1,1,1,N,N
OENY81318214638815,1,1,1,Y,Y
VASY22022242399092,1,1,3,Y,Y
KNQS82958426712425,1,1,4,Y,N
JHBO60438193532415,1,1,2,N,N
SUSC11819363851198,0,1,3,Y,Y
RKTN96370110795141,1,0,1,N,N
EVGH80713373923332,1,0,2,N,Y
CHFO18475222449484,1,1,2,Y,Y
EFAB72721556314328,1,1,4,N,N
COSO40650433132671,1,1,1,N,Y
TZMJ98499876792370,1,1,1,Y,N
WZTK21617262083821,1,1,5,N,N
NWXV22545634289961,1,1,2,N,Y
FGQK40963459729380,1,1,1,Y,N
URTR60450076636952,1,1,4,N,Y
YJLL15215983601326,1,0,2,Y,N
GDPW33620680901729,1,0,5,Y,N
WYOA24784835968119,0,1,5,Y,Y
CNUL88301767849422,1,0,1,Y,Y
XEYW24059662026195,1,1,5,Y,Y
PSUX58220723053789,1,1,5,Y,N
JWTG13432804176995,0,1,5,N,Y
TVGZ08441460861233,1,1,2,Y,N
KQMH66553445201673,1,0,2,N,N
